PV,Tem
0,-15.96
0,-15.97
0,-15.99
0,-15.93
0,-15.88
100.97,-14.08
288.8,-10.9
360.65,-8.68
557.62,-7.17
455.1,-6.18
600.9,-5.69
449.92,-5.5
413.77,-5.77
258.85,-6.51
88.85,-8.35
0,-9.81
0,-10.29
0,-10.65
0,-10.8
0,-10.74
0,-10.61
0,-10.54
0,-10.67
0,-10.89
0,-11.22
0,-11.49
0,-11.63
0,-11.59
0,-11.48
89.12,-10.24
258,-7.37
409.9,-5.35
364.2,-4.08
570.47,-3.21
492.92,-2.76
516.75,-2.64
390.5,-2.97
243.48,-4.04
85.8,-6.56
0,-8.6
0,-8.95
0,-9.15
0,-9.48
0,-9.99
0,-10.6
0,-11.34
0,-11.92
0,-12.21
0,-11.88
0,-11.76
0,-11.86
0,-12.44
0,-12.88
92.57,-11.95
265.85,-10.13
442.52,-8.45
569.92,-7.2
425.7,-6.43
503.88,-6.14
423.12,-6.29
364.77,-6.9
244.52,-8.03
94.62,-10.37
0,-12.58
0,-13.77
0,-14.12
0,-14.2
0,-14.63
0,-14.84
0,-15.25
0,-15.68
0,-16.48
0,-17.08
0,-17.39
0,-17.6
0,-18.01
0,-18.33
120.1,-16.58
308.17,-13.75
483.25,-11.59
442.5,-10.31
649.8,-9.3
513.53,-8.68
497.95,-8.48
458.65,-8.64
298.1,-9.37
120.07,-11.17
0,-13.8
0,-14.84
0,-15.65
0,-16.62
0,-17.05
0,-16.88
0,-16.74
0,-16.54
0,-16.4
0,-16.5
0,-16.81
0,-17.11
0,-17.17
0,-17.02
125.7,-15.12
316.38,-11.91
481.9,-9.88
584.45,-8.75
520.4,-8.13
476.42,-7.71
566.9,-7.66
451.23,-7.81
287.65,-8.42
117.07,-10.23
0,-12.68
0,-13.3
0,-13.48
0,-13.63
0,-13.74
0,-13.73
0,-13.83
0,-14.19
0,-14.66
0,-15.01
0,-15.22
0,-15.11
0,-14.72
0,-14.37
119.3,-12.9
289.12,-10.04
469.5,-7.67
520.7,-6.25
539.35,-5.34
628.33,-4.85
477.75,-4.69
428.6,-4.85
274.58,-5.55
111.97,-7.84
0,-10.67
0,-11.26
0,-11.86
0,-11.77
0,-11.11
0,-10.1
0,-9.74
0,-10.15
0,-10.66
0,-11.07
0,-11.51
0,-11.79
0,-11.5
0,-11.15
128.07,-9.94
303.98,-7.45
459.25,-5.01
497.88,-3.41
625.67,-2.56
501.27,-2.17
558.38,-2.18
434.83,-2.62
278.08,-3.56
122.25,-6.18
0,-8.91
0,-8.99
0,-9.05
0,-8.73
0,-8.21
0,-7.71
0,-7.72
0,-8.05
0,-8.46
0,-8.63
0,-8.65
0,-8.58
0,-8.5
4.47,-8.38
100.88,-7.4
235.18,-5.47
390.5,-3.58
501.42,-2.22
528.1,-1.55
616.03,-1.55
465.25,-1.84
425.98,-2.32
265.15,-3.04
102.78,-4.61
4.03,-6.32
0,-6.86
0,-7.3
0,-7.36
0,-7.2
0,-6.94
0,-6.82
0,-6.83
0,-7.02
0,-7.44
0,-8.07
0,-8.78
0,-8.75
4.8,-8.04
109.82,-5.8
281.5,-2.41
462.55,0.13
444.1,1.79
550.95,2.88
482.77,3.73
561.22,3.94
437.3,3.48
269.58,1.93
93.7,-0.59
4.32,-1.25
0,-1.14
0,-1.08
0,-1.37
0,-1.43
0,-1.28
0,-1.24
0,-1.49
0,-1.67
0,-1.82
0,-1.76
0,-1.47
0,-1.79
4.28,-2.79
59.6,-2.12
219.73,0.18
376.77,2.09
457.35,3.01
589.97,3.46
632.92,3.7
479.35,3.81
453.08,3.6
265.45,2.39
110.88,0.61
5.7,-0.4
0,-1.22
0,-1.57
0,-1.15
0,-0.93
0,-1.07
0,-1.19
0,-1.28
0,-1.91
0,-2.97
0,-2.79
0,-3.27
0,-3.91
5.45,-4.71
90.88,-3.94
238.6,-2.29
390.73,-0.97
437.85,0.06
590.75,0.86
542.28,1.16
500.38,1.02
423.17,0.66
270.67,-0.07
109.6,-1.93
5.88,-3.31
0,-3.34
0,-3.58
0,-3.56
0,-3.41
0,-3.34
0,-3.16
0,-3
0,-3.36
0,-3.98
0,-4.54
0,-5.04
0,-5.49
6.22,-5.49
93.2,-2.98
262.08,0.16
426.05,1.93
515.6,2.96
420.73,3.51
499.73,3.68
584,3.54
460.2,3.07
289.55,1.72
108.28,-0.44
6.85,-2.29
0,-2.83
0,-3.27
0,-3.28
0,-3.47
0,-4
0,-4.28
0,-4.28
0,-4.24
0,-4.4
0,-4.87
0,-5.52
0,-6.03
8.55,-5.99
130.5,-3.8
325.5,-0.67
490.65,1.56
495.42,3.05
665.35,3.88
615.22,4.24
555.47,4.25
465.25,3.92
300.48,3.01
132.82,0.8
7.88,-1.04
0,-1.62
0,-2.01
0,-2.08
0,-2.22
0,-2.28
0,-2.22
0,-2.12
0,-2.15
0,-2.27
0,-2.61
0,-3.13
0,-3.48
8.8,-3.55
122.18,-1.95
296.27,0.41
442.52,2.21
570.1,3.25
609.75,3.61
522.53,3.58
497.7,3.05
466.27,2.15
299.42,0.94
103.3,-0.92
7.97,-2.78
0,-3.78
0,-5.42
0,-5.73
0,-6.03
0,-6.46
0,-6.29
0,-5.93
0,-5.81
0,-6.13
0,-6.46
0,-7.09
0,-7.75
13.8,-7.72
165,-5.26
319.62,-2.7
473.98,-0.51
578.53,0.69
564.8,1.62
718.33,2.31
538.92,2.64
528.62,2.39
357.3,1.62
114.57,-0.06
8.12,-2.32
0,-2.86
0,-2.79
0,-2.61
0,-2.38
0,-2.27
0,-2.51
0,-2.96
0,-3.47
0,-3.98
0,-4.64
0,-5.05
0,-5.46
9.48,-5.18
132.68,-3.65
340.65,-2.47
505.7,-1.64
507.23,-1.16
669.58,-0.92
638.72,-0.94
557.17,-1.04
451.85,-1.3
308,-1.64
114.38,-2.42
9.27,-3.56
0,-3.93
0,-4.1
0,-4.13
0,-4.11
0,-4.4
0,-4.84
0,-5
0,-5.15
0,-5.34
0,-5.4
0,-5.26
0,-5.33
12.3,-5.3
135.75,-3.19
316.23,-0.63
481.1,1.21
578.35,2.57
579.53,3.32
602,3.65
541.8,3.66
423.85,3.37
260.98,2.67
105.82,0.69
8.82,-1.53
0,-2.57
0,-3.3
0,-3.59
0,-3.67
0,-3.64
0,-3.54
0,-3.54
0,-3.66
0,-3.74
0,-3.82
0,-3.92
0,-3.93
12.32,-3.57
122.85,-1.43
278.92,1.48
440.67,3.3
554.1,4.44
646,5.01
574.03,5.26
559.62,5.3
424.73,4.94
257.55,4.12
102.72,2.02
9.12,0.06
0,-0.41
0,-1.02
0,-1.79
0,-2.37
0,-2.52
0,-2.7
0,-3
0,-2.88
0,-2.7
0,-2.83
0,-3.16
0,-3.38
12.93,-3.17
111.62,-0.54
221.45,2.58
387.58,4.22
502.6,5.82
519.15,7.3
523.45,8.3
450.27,8.75
376.5,8.65
233.9,7.8
92.05,5.21
9.15,2.94
0,2.51
0,2.69
0,2.32
0,1.74
0,1.41
0,0.77
0,0.28
0,0.23
0,-0.22
0,-0.77
0,-1.02
0,-1.19
15.27,-1.04
131.07,0.68
277.55,2.6
425.27,4.51
585.95,5.95
642.8,7
614.28,7.64
488.05,7.76
455.15,7.39
334.38,6.59
152.07,4.01
14.52,-0.11
0,-0.77
0,-0.63
0,-0.5
0,-0.03
0,-0.19
0,-0.94
0,-1.4
0,-1.63
0,-1.84
0,-1.97
0,-2.2
0,-2.29
17.8,-1.79
143.62,1.07
304.27,3.49
446.42,5.46
509.85,6.77
546.55,7.5
541.85,7.84
537.2,8.04
429.85,7.95
274.35,7.44
107.75,5.2
12.35,3.26
0,2.33
0,1.65
0,1.59
0,1.56
0,1.51
0,1.62
0,1.52
0,1.21
0,0.94
0,0.74
0,0.67
0,0.77
18.55,1.25
137,3.88
309.85,6.76
461.45,8.54
602.12,10.22
585.2,11.56
597.5,12.64
540.4,13.34
452.98,13.14
286.7,12.03
119.75,8.89
12.4,6.57
0,4.96
0,3.89
0,3.18
0,3
0,3.17
0,3.3
0,3.02
0,2.8
0,2.68
0,2.74
0,2.86
0,2.16
21.98,2.06
155.68,4.47
321,6.34
467.2,7.36
485.35,7
607.33,5.96
457.02,5.58
539.65,4.87
455.08,3.45
290.17,1.89
141.2,0.15
15.52,-1.72
0,-2.89
0,-3.12
0,-3.14
0,-3.76
0,-4.67
0,-5.01
0,-5.33
0,-5.91
0,-6.45
0,-6.75
0,-6.62
0,-5.87
27.75,-4
146.48,-0.88
325.02,1.99
572.3,4.79
593.25,6.83
557.42,8.09
674.6,8.91
427.75,9.23
488.75,9.12
311.85,8.31
136.52,5.3
13.52,2.77
0,1.89
0,1.55
0,1.66
0,2.03
0,2.25
0,2.12
0,1.98
0,1.68
0,1.57
0,1.29
0,0.54
0,0.17
24.48,0.3
134.65,1.96
267.83,3.78
462.02,5.51
469.7,7.51
547.55,8.61
449.9,9.06
486.2,9.2
372.73,8.86
233.25,7.8
